10006	@USER Drew Kerry - part of the Canadian S / - “	NOT
10008	@USER Because they have a corrupt liberal government that steals from people. Liberals at work ....	OFF
10009	@USER @USER @USER @USER Have you attended Governor Abbott meetings on weapons problems at school? I think no! I did! There were excellent discussions on the use of weapons for protection and defense! What is your point of view? You stand for gun control, and 90% of real Texans will not take their weapons !!	OFF
10023	@USER Can&#39;t wait for 2020! .. @ USER URL	NOT
10032	@USER bitch, I saw a tweet of your whole ass from wednesday, you bitches always say shit and then pedal.	OFF
10035	@USER Omg, I am very sorry that you have to go through it, but as soon as it comes out, it will be worth it, I love you Austin and Ell, and let&#39;s not forget about the new baby, you guys are such nice people, so keep doing what you do best and keep inspiring me and other ACE FAMILY members that I love, guys	NOT
10036	@USER Chris You are just stirring the pot, and this is a political dig. How about Texas, how was everything there? PR was a completely different situation. How did you help?	NOT
10038	@USER ABSOLUTELY FALSE. WE ALL KNOW THAT CP24 IS LIBERAL. REMEMBER THAT FORD DUDE WILL TRY TO SAVE MONEY TAXES	NOT
10039	@USER Children&#39;s and non-professional.	OFF
10054	@USER @USER @USER traitor, whoever he is.	OFF
10057	@User team even knows he is an ass	OFF
10085	@USER @USER And vice versa, you do not seem to care about children unless they are shot at school, and they can be used to facilitate gun control. It&#39;s funny that the AP, which you hate so much, is used to kill far fewer people than criminals with their hands and feet. When do you start calling everyone to be dismembered?	OFF
10087	@USER Great! And these boobs are killing! ❤️	OFF
10088	@USER You are not surprised to learn that liberals sacrifice their children on the altar signaling virtues?	NOT
10092	“Thank you very much” “to all these silly celebrities. Such events will serve only Republicans in the elections of 2018 and 2020. #MAGA @USER @USER @USER URL »	OFF
10094	In Oregon, 54 night club members were killed with a 30-caliber M-1 universal carbine. The NRA calls the firearm control study &quot;unethical.&quot;	NOT
10106	@USER Still cover. And I bet that the anonymous author of the article in the New York Times on September 5 was the New York Times !!!! No #Potus Senior Admin. But it is a pity that since then he has refused to name the writer ... EVERYTHING TO SUPPORT THE COVER IN THE CAMP #TRUMP !!! And Maga	OFF
10114	@USER Bono - Nono in my house.	NOT
10117	Where is my hat MAGA ?! URL	NOT
10133	@USER @USER You look happy .MAGA	OFF
10142	@USER He should have no work after that. But I believe that he is the “talker” of some big bumps in broadcasting.	OFF
10144	@USER @USER I agree .. but they are still conservatives at heart. Can hate 45 *, but will retain their conservative ideals.	NOT
10161	@USER @USER @USER @USER What are you doing, Jeff? Do you think it&#39;s a good idea to follow in the footsteps of McCain? You will also be known as TRAINTER. Get away from the POSTERS of DemonRats Liberals are evil. Confirm Cavano.	OFF
